created_at,full_text,lang,cleaned_text,normalized_text
2025-10-21,@salam4jari Mentri gagal mentri ESDM yg merusak SDM itu sendiri,in,mentri gagal mentri esdm yg merusak sdm itu sendiri,menteri gagal menteri esdm yang merusak sdm itu sendiri
2025-10-20,@feroferraferri Cuman mediator atau bahasa kerennya calo ..masa jd mentri ibarat calo yg nyari untung padahal tugasnya menjalani regulasi peraturan &amp; infrastruktur mewakili rakyat arti infrastruktur luas bukan hny bangun bandara tol dll tp sdm sda juga moralitas trust itu sangat penting,in,cuman mediator atau bahasa kerennya calo masa jd mentri ibarat calo yg nyari untung padahal tugasnya menjalani regulasi peraturan amp infrastruktur mewakili rakyat arti infrastruktur luas bukan hny bangun bandara tol dll tp sdm sda juga moralitas trust itu sangat penting,cuman mediator atau bahasa kerennya calo masa jadi menteri ibarat calo yang nyari untung padahal tugasnya menjalani regulasi peraturan amp infrastruktur mewakili rakyat arti infrastruktur luas bukan hny bangun bandara tol dll tapi sdm sda juga moralitas trust itu sangat penting
2025-10-19,mentri sdm yang bener cuman kak imel doang anjjj,in,mentri sdm yang bener cuman kak imel doang anjjj,menteri sdm yang bener cuman kak imel doang anjjj
2025-10-18,@DS_yantie Mentri sdm kok gk punya otak,in,mentri sdm kok gk punya otak,menteri sdm kok gak punya otak
2025-10-18,@somexthread Kitab suci dihina cuma bisa nyuruh sabar kader yg jadi Mentri korupsi dana haji pura2 budeg kiai disenggol ngamuk emang SDM rendah,in,kitab suci dihina cuma bisa nyuruh sabar kader yg jadi mentri korupsi dana haji pura budeg kiai disenggol ngamuk emang sdm rendah,kitab suci dihina cuma bisa nyuruh sabar kader yang jadi menteri korupsi dana haji pura budeg kiai disenggol ngamuk emang sdm rendah
2025-10-17,@ysexy dalem patra masuk dah deket mesjid gedung mentri sdm,in,dalem patra masuk dah deket mesjid gedung mentri sdm,dalem patra masuk dah deket mesjid gedung menteri sdm
2025-10-14,@tempodotco Nambah lagi statement tolol dari mentri kejahatan seksual ya kejahatan sedikit atau banyak ya tetap kejahatan ga ada pengaruh dari media karena penjahatnya ya memang ada didalam pondok kenapa malah nyalahin media klo emang sdm dalam pondok itu sendiri memang bobrok,in,nambah lagi statement tolol dari mentri kejahatan seksual ya kejahatan sedikit atau banyak ya tetap kejahatan ga ada pengaruh dari media karena penjahatnya ya memang ada didalam pondok kenapa malah nyalahin media klo emang sdm dalam pondok itu sendiri memang bobrok,nambah lagi statement tolol dari menteri kejahatan seksual ya kejahatan sedikit atau banyak ya tetap kejahatan gak ada pengaruh dari media karena penjahatnya ya memang ada didalam pondok kenapa malah nyalahin media kalau emang sdm dalam pondok itu sendiri memang bobrok
2025-10-13,@prabowo Apakah ada aturan negara yg melegalkan meracuni penduduk dgn polusi udara od waktu mereka sedang tidur ?? Sprti yg terjadi pd saat ini ??? Negara ini sdh salah di kelola. Pd sarjana gadungan sih yg jd mentri terutama KLHK tuh sgt tdk berguna keberadaannya. Gantilah sdm nya ,in,apakah ada aturan negara yg melegalkan meracuni penduduk dgn polusi udara od waktu mereka sedang tidur sprti yg terjadi pd saat ini negara ini sdh salah di kelola pd sarjana gadungan sih yg jd mentri terutama klhk tuh sgt tdk berguna keberadaannya gantilah sdm nya,apakah ada aturan negara yang melegalkan meracuni penduduk dengan polusi udara od waktu mereka sedang tidur sprti yang terjadi pd saat ini negara ini sdh salah di kelola pd sarjana gadungan sih yang jadi menteri terutama klhk tuh sgt tidak berguna keberadaannya gantilah sdm nya
2025-10-11,@inijoejoe USA yg wilayah dan jumlah populasinya lebih besar dari Indonesia punya mentri cuma 1/2nya mentri Indo Pertanyaannya adalah....apakah Indo kekurangan SDM ? Atau jabatan di berikan hanya sebagai bentuk balas budi?,in,usa yg wilayah dan jumlah populasinya lebih besar dari indonesia punya mentri cuma nya mentri indo pertanyaannya adalahapakah indo kekurangan sdm atau jabatan di berikan hanya sebagai bentuk balas budi,usa yang wilayah dan jumlah populasinya lebih besar dari indonesia punya menteri cuma nya menteri indo pertanyaannya adalahapakah indo kekurangan sdm atau jabatan di berikan hanya sebagai bentuk balas budi
2025-10-11,@kompascom udah jelas mentri sdm nya bodoh masih di pakai. @bahlillahadalia,in,udah jelas mentri sdm nya bodoh masih di pakai,udah jelas menteri sdm nya bodoh masih di pakai
