created_at,normalized_text,isu_teridentifikasi,sentiment_pred,prediksi_sentimen
2025-08-15,ya beda blok jaman moh hatta jadi wapres indonesia punya apa selain negara kere yang baru merdeka yang gak punya duit dan sdm rendah yang pintar sekolah cuma segelintir kalau skrg kan sdh jadi negara berkembang ada duitnya merintis itu lebih susah sulit drpd yang cuma nerusin menteri oon,Isu LPG,Negatif,Negatif
2025-07-04,knp ini menteri gak mengundurkan diri cuma utang utang iyang dan utang tanyakan ke jokowi yang ribu triliun ada di mana klu uang nya ada buat bayar utang sdm di mana mana nikel emas batubara dan komoditi lainya belum lagi hasil laut pajak miskin amat sih negara,Isu Tambang,Negatif,Negatif
2025-06-25,pak punya menteri kok gini banget pak ngawur lo pak izin pak tolong banget resufle pak banyak kok sdm kita yang lebih baik,Isu Tambang,Negatif,Negatif
2025-04-18,wakil menteri leveeeeel receeeeh level jalanan wakil menteri hrs nya bikin policy dan peraturan dan memastikan oer aturan di jalankan untuk kepentingan rakyat banyak bukan cari panggung dari hal receh receh giniemang lucu lucu sdm rendah ini,Isu Meme,Negatif,Negatif
2025-03-26,klw berargumen itu emang kerjaan pemerintah yah semua kebijakan publik juga kerjaan pemerintah jadi harus dilihat keseluruhan bukan fokus pada hal yang dianggap salah saja giliran yang dianggap salah kayak gas lpg oleh menteri sdm ya kritik saja,Isu LPG,Negatif,Negatif
2025-02-14,anggaran pejabat di pangkas pejabat pangkas sdm sdm nya kabur keluar negeri menteri lpg bersabda barang siapa yang kabur keluar negeri itu pertanda anda tidak punya rasa nasionalisme netizen wkwkwk,Isu LPG,Negatif,Negatif
2025-02-10,sdm pejabatnya nol tapi pengin jadi negara maju ikn hanya omong kosong korupsi dari segala sendi pemerintahan menteri tak ada inovasi untuk membangun negeri yang ada pemerintah bisnis dengan rakyat jualan bbm listrik gas airdll,Isu LPG,Negatif,Negatif
2025-02-05,oh dia menteri esdm tapi g berwujud sdm sih buang saja ato gak minimal tempeleng pake gas melon gitu mukanyaaa,Isu LPG,Negatif,Negatif
2025-02-04,tag buat menteri nya sdm rendah gigi sudah jarang lihat tuh video ibu berkorban antri beli gas diagen rakyat dibikin sulit hidup menjerit gas di pengecer gak ada dapat beli diagen malah jadi korban,Isu LPG,Negatif,Negatif
2025-10-24,suka semuanya suka serenity irene xueer bintang dan ternak akunmu yang seperti akun buzzer bahlil itu,Isu Meme,Positif,Positif
