created_at,text_stopremoved,sentiment_pred,text_stemmed,topic
2025-10-21,menteri gagal menteri esdm merusak sdm sendiri,Negatif,menteri gagal menteri esdm rusak sdm sendiri,0.0
2025-10-20,cuman mediator bahasa kerennya calo masa jadi menteri ibarat calo nyari untung padahal tugasnya menjalani regulasi peraturan amp infrastruktur mewakili rakyat arti infrastruktur luas bukan hny bangun bandara tol sdm sda moralitas trust sangat penting,Negatif,cuman mediator bahasa keren calo masa jadi menteri ibarat calo nyari untung padahal tugas jalan regulasi atur amp infrastruktur wakil rakyat arti infrastruktur luas bukan hny bangun bandara tol sdm sda moralitas trust sangat penting,0.0
2025-10-19,menteri sdm bener cuman kak imel doang anjjj,Negatif,menteri sdm bener cuman kak imel doang anjjj,0.0
2025-10-18,menteri sdm punya otak,Negatif,menteri sdm punya otak,0.0
2025-10-18,kitab suci dihina cuma nyuruh sabar kader jadi menteri korupsi dana haji pura budeg kiai disenggol ngamuk emang sdm rendah,Negatif,kitab suci hina cuma nyuruh sabar kader jadi menteri korupsi dana haji pura budeg kiai senggol ngamuk emang sdm rendah,0.0
2025-10-17,dalem patra masuk dah deket mesjid gedung menteri sdm,Netral,dalem patra masuk dah deket mesjid gedung menteri sdm,0.0
2025-10-14,nambah statement tolol menteri kejahatan seksual kejahatan sedikit banyak tetap kejahatan pengaruh media penjahatnya memang didalam pondok malah nyalahin media kalau emang sdm pondok sendiri memang bobrok,Negatif,nambah statement tolol menteri jahat seksual jahat sedikit banyak tetap jahat pengaruh media jahat memang dalam pondok malah nyalahin media kalau emang sdm pondok sendiri memang bobrok,0.0
2025-10-13,aturan negara melegalkan meracuni penduduk polusi udara od waktu sedang tidur sprti terjadi pd negara sdh salah kelola pd sarjana gadungan jadi menteri terutama klhk tuh sgt berguna keberadaannya gantilah sdm,Negatif,atur negara legal racun duduk polusi udara od waktu sedang tidur sprti jadi pd negara sdh salah kelola pd sarjana gadungan jadi menteri utama klhk tuh sgt guna ada ganti sdm,0.0
2025-10-11,usa wilayah jumlah populasinya lebih besar indonesia punya menteri cuma menteri indo pertanyaannya adalahapakah indo kekurangan sdm jabatan berikan bentuk balas budi,Negatif,usa wilayah jumlah populasi lebih besar indonesia punya menteri cuma menteri indo tanya adalahapakah indo kurang sdm jabat ikan bentuk balas budi,0.0
2025-10-11,udah jelas menteri sdm bodoh pakai,Negatif,udah jelas menteri sdm bodoh pakai,0.0
